GEOID,happening,human
6005,67.065,48.655
6007,70.729,50.99
6009,67.643,49.211
6011,68.46,52.558
6013,78.092,58.556
6015,67.914,50.634
6017,66.828,49.825
6019,71.088,54.617
6021,67.496,50.575
6023,76.644,58.574
6025,74.6,60.201
6027,68.535,49.865
6029,68.914,51.336
6031,68.247,52.402
6033,72.47,54.94
6035,64.986,48.353
6037,74.227,61.09
6039,69.158,52.161
6041,80.013,62.459
6043,71.099,51.931
6045,76.51,58.767
6047,72.416,55.492
6049,66.808,48.212
6051,74.098,55.398
6053,77.094,61.39
6055,75.368,60.458
6057,70.193,53.417
6059,72.33,56.453
6061,69.399,51.377
6063,68.455,51.039
6065,72.444,56.926
6067,76.565,55.639
6069,73.765,57.463
6071,74.291,55.901
6073,72.643,54.002
6075,83.329,65.941
6077,75.439,58.111
6079,74.286,55.455
6081,80.435,64.993
6083,75.09,59.739
6085,79.214,63.727
6087,80.063,65.267
6089,64.792,47.798
6091,64.167,46.92
6093,70.489,52.323
6095,73.278,57.439
6097,76.965,61.467
6099,69.585,55.888
6101,68.265,52.689
6103,66.153,48.416
6105,71.674,52.769
6107,68.74,54.691
6109,66.992,49.838
6111,73.828,55.532
6113,79.04,62.132
6115,69.077,51.189
8001,74.831,57.942
8003,73.253,56.049
8005,72.038,55.422
8007,69.724,51.723
8009,62.728,44.855
8011,65.326,48.824
8013,78.686,61.204
8014,73.058,55.786
8015,70.484,51.989
8017,60.6,43.207
8019,73.425,54.646
8021,72.293,54.993
8023,74.397,58.411
8025,66.029,48.915
8027,66.918,47.587
8029,63.6,47.942
8031,79.988,62.287
8033,66.058,47.433
8035,66.396,49.624
8037,75.592,57.999
8039,67.103,49.66
8041,66.029,46.123
8043,67.255,49.911
8045,71.751,53.269
8047,72.359,54.687
8049,72.648,54.849
8051,75.825,56.456
8053,70.56,50.875
8055,75.761,57.87
8057,65.336,47.107
8059,69.723,51.48
8061,58.854,41.528
8063,60.532,43.763
8065,74.236,55.323
8067,76.333,59.385
8069,73.179,55.514
8071,71.577,54.682
8073,63.736,46.312
8075,65.133,49.218
8077,65.469,48.231
8079,74.007,56.002
8081,54.221,39.969
8083,67.069,49.889
8085,64.543,47.539
8087,63.9,49.066
8089,70.531,52.235
8091,74.815,55.468
8093,70.41,52.628
8095,65.795,48.625
8097,78.707,59.974
8099,67.78,51.892
8101,71.433,55.831
8103,61.752,43.886
8105,69.397,52.283
8107,71.361,53.628
8109,77.546,60.95
8111,73.972,55.013
8113,79.467,61.676
8115,66.716,48.836
8117,77.203,58.613
8119,65.577,47.665
8121,60.137,42.777
8123,65.825,49.568
8125,64.46,46.164
9001,73.568,58.755
9003,71.494,53.6
9005,68.743,52.428
9007,72.038,55.881
9009,74.166,53.863
9011,70.799,54.413
9013,69.702,54.857
9015,66.054,52.356
10001,72.134,53.724
10003,70.256,53.154
10005,66.47,50.47
11001,83.625,64.698
12001,75.081,57.347
12003,56.099,40.42
12005,63.813,47.688
12007,59.161,44.608
12009,69.501,51.606
12011,75.033,58.661
12013,58.83,42.843
12015,67.363,50.779
12017,66.982,49.814
12019,61.155,43.867
12021,67.084,50.375
12023,61.176,45.399
12027,69.298,52.189
12029,58.406,42.379
12031,69.27,48.004
12033,67.197,48.724
12035,68.697,51.764
12037,66.054,48.967
12039,73.025,55.364
12041,58.731,42.774
12043,66.48,48.78
12045,60.945,43.871
12047,65.109,47.435
12049,66.193,49.5
12051,73.527,57.139
12053,64.716,48.131
12055,66.296,49.266
12057,72.26,56.303
12059,54.683,40.21
12061,65.589,48.842
12063,61.711,44.985
12065,69.362,51.314
12067,60.653,43.55
12069,69.123,52.564
12071,65.939,50.658
12073,71.532,53.889
12075,62.078,45.128
12077,64.198,48.596
12079,68.435,48.235
12081,70.895,52.446
12083,67.804,50.227
12085,65.627,47.279
12086,76.694,60.775
12087,75.168,56.551
12089,63.058,45.132
12091,64.176,45.993
12093,65.577,50.27
12095,69.277,53.46
12097,74.078,58.04
12099,76.171,54.526
12101,71.688,53.847
12103,69.589,53.929
12105,67.9,49.028
12107,59.338,45.907
12109,64.449,46.435
12111,71.545,53.137
12113,62.684,45.598
12115,67.527,50.682
12117,68.173,50.018
12119,65.72,48.163
12121,62.251,44.713
12123,62.859,46.823
12125,59.563,44.725
12127,69.048,50.071
12129,59.967,45.495
12131,61.123,44.705
12133,58.538,43.037
13001,59.545,42.901
13003,62.533,46.215
13005,62.178,46.286
13007,63.658,45.675
13009,65.564,48.045
13011,57.936,43.917
13013,60.478,43.85
13015,55.076,41.893
13017,65.272,47.454
13019,59.768,43.681
13021,70.218,49.129
13023,61.73,44.942
13025,56.279,41.747
13027,65.533,47.009
13029,62.897,45.409
13031,68.178,50.182
13033,64.557,47.195
13035,62.275,44.979
13037,74.855,54.636
13039,64.167,46.513
13043,63.553,46.377
13045,62.633,44.826
13047,57.496,42.418
13049,64.554,46.871
13051,72.518,52.573
13053,73.223,53.658
13055,58.585,42.658
13057,61.071,45.88
13059,74.97,57.167
13061,73.318,52.179
13063,75.329,57.512
13065,60.496,43.649
13067,69.994,52.899
13069,63.194,46.361
13071,63.434,46.539
13073,61.048,45.319
13075,61.592,44.215
13077,61.473,44.51
13079,62.101,46.037
13081,65.008,46.081
13083,59.83,42.312
13085,58.117,42.478
13087,65.856,47.235
13089,81.699,60.271
13091,60.323,43.236
13093,65.282,47.087
13095,75.413,56.135
13097,70.436,53.577
13099,65.688,47.04
13101,61.262,44.716
13103,58.097,41.689
13105,62.469,45.192
13107,64.135,46.227
13109,66.543,48.322
13111,59.062,45.219
13113,65.398,48.482
13115,59.858,44.358
13117,60.103,45.771
13119,58.072,43.348
13121,78.617,62.71
13123,59.816,44.719
13125,54.643,40.786
13127,65.194,48.313
13129,58.676,42.44
13131,64.676,47.063
13133,64.307,45.536
13135,65.786,52.938
13137,56.57,41.892
13139,61.494,45.797
13141,69.38,50.58
13143,55.937,41.309
13145,58.094,42.049
13147,59.693,43.226
13149,50.176,39.737
13151,69.707,51.666
13153,65.322,48.481
13155,62.66,44.429
13157,56.395,42.762
13159,61.043,44.241
13161,58.576,42.129
13163,68.518,49.233
13165,67.299,49.391
13167,65.634,46.545
13169,63.289,47.034
13171,66.572,49.618
13173,61.457,44.398
13175,61.764,43.833
13177,59.1,42.382
13179,72.16,53.068
13181,63.256,44.687
13183,66.996,50.637
13185,66.803,48.27
13187,59.12,42.856
13189,70.136,51.652
13191,58.875,41.335
13193,68.461,47.958
13195,63.752,47.621
13197,67.378,49.506
13199,65.284,48.057
13201,60.713,43.09
13205,70.209,51.999
13207,54.033,40.497
13209,59.555,42.593
13211,60.026,43.246
13213,56.669,42.507
13215,72.144,53.886
13217,68.793,49.875
13219,62.623,46.014
13221,60.703,44.299
13223,60.953,44.285
13225,69.722,51.009
13227,58.761,43.022
13229,55.914,41.443
13231,55.657,39.809
13233,60.005,45.464
13235,61.557,44.582
13237,63.274,46.635
13239,71.244,50.551
13241,62.978,47.215
13243,73.623,54.292
13245,72.795,54.545
13247,74.45,55.303
13249,61.861,43.512
13251,64.546,45.914
13253,65.587,47.2
13255,64.037,45.216
13257,61.205,44.634
13259,72.309,54.207
13261,69.292,49.723
13263,73.127,53.59
13265,70.148,50.597
13267,62.959,44.277
13269,66.148,47.117
13271,61.701,45.138
13273,69.262,49.488
13275,65.956,46.161
13277,65.31,47.843
13279,61.735,44.386
13281,63.118,46.203
13283,65.204,47.208
13285,63.267,46.327
13287,64.455,46.084
13289,64.737,48.373
13291,55.872,40.41
13293,63.665,46.425
13295,57.703,42.518
13297,59.613,42.849
13299,65.799,46.505
13301,67.78,47.92
13303,67.651,47.441
13305,59.708,43.967
13307,61.29,43.818
13309,60.835,44.73
13311,57.4,42.197
13313,61.738,47.953
13315,60.647,43.357
13317,65.476,46.667
13319,62.954,45.463
13321,59.862,43.675
15001,78.729,62.112
15003,81.254,63.228
15005,70.218,53.4
15007,76.957,61.072
15009,77.255,60.265
16001,68.622,50.627
16003,62.953,45.449
16005,68.256,49.854
16007,61.732,45.212
16009,61.103,44.501
16011,59.34,44.34
16013,73.959,55.751
16015,68.524,51.024
16017,65.038,46.897
16019,65.446,47.151
16021,62.539,46.502
16023,59.198,42.129
16025,64.049,46.108
16027,59.882,45.161
16029,56.995,40.461
16031,60.275,45.181
16033,63.445,46.164
16035,61.806,44.749
16037,63.678,45.145
16039,62.542,45.919
16041,54.772,38.886
16043,60.17,43.168
